tweet_id,createdAt,primary_group,is_joke_or_meme,overall_group_sentiment,keyword,keyword_group,sentiment,context_only_from_username,context_is_relevant,category,keyword_in_username
149688828599349248,2011-12-22 03:12:52+00:00,Ethereum & Smart Contracts,False,5,pos,General Cryptocurrency,5,False,True,General Cryptocurrency,False
152614233278910464,2011-12-30 04:57:23+00:00,Ethereum & Smart Contracts,False,5,eth,Ethereum & Smart Contracts,5,False,True,Ethereum & Smart Contracts,False
152614233278910464,2011-12-30 04:57:23+00:00,Ethereum & Smart Contracts,False,5,sol,Altcoins,5,False,True,Altcoins,False
152763084488982528,2011-12-30 14:48:52+00:00,General Cryptocurrency,False,5,near,Altcoins,5,False,True,Altcoins,False
153099684280410112,2011-12-31 13:06:23+00:00,Ethereum & Smart Contracts,False,5,pos,General Cryptocurrency,5,False,True,General Cryptocurrency,False
153574532031070208,2012-01-01 20:33:16+00:00,General Cryptocurrency,False,5,pow,General Cryptocurrency,5,False,True,General Cryptocurrency,False
155380533533220864,2012-01-06 20:09:40+00:00,Altcoins,False,5,sol,Altcoins,5,False,True,Altcoins,False
156927468836630528,2012-01-11 02:36:39+00:00,Altcoins,False,5,apt,Altcoins,5,False,True,Altcoins,False
157292663601758208,2012-01-12 02:47:48+00:00,General Cryptocurrency,False,7,pow,General Cryptocurrency,7,False,True,General Cryptocurrency,False
161645598037123072,2012-01-24 03:04:49+00:00,General Cryptocurrency,False,6,sol,Altcoins,6,False,True,Altcoins,False
161645598037123072,2012-01-24 03:04:49+00:00,General Cryptocurrency,False,6,tron,Altcoins,6,False,True,Altcoins,False
163349291790893056,2012-01-28 19:54:40+00:00,Altcoins,False,5,dot,Altcoins,5,False,True,Altcoins,False
165622701631868928,2012-02-04 02:28:24+00:00,Ethereum & Smart Contracts,False,5,eth,Ethereum & Smart Contracts,5,False,True,Ethereum & Smart Contracts,False
166251564032471040,2012-02-05 20:07:16+00:00,Ethereum & Smart Contracts,False,5,pos,General Cryptocurrency,5,False,True,General Cryptocurrency,False
167104295504838656,2012-02-08 04:35:43+00:00,Ethereum & Smart Contracts,False,5,eth,Ethereum & Smart Contracts,5,False,True,Ethereum & Smart Contracts,False
167325254451081216,2012-02-08 19:13:44+00:00,General Cryptocurrency,False,6,pow,General Cryptocurrency,6,False,True,General Cryptocurrency,False
167325254451081216,2012-02-08 19:13:44+00:00,General Cryptocurrency,False,6,sol,Altcoins,6,False,True,Altcoins,False
