"date","open","close","volume_usd"
2014-09-17,465.864013671875,457.334014892578,21056800
2014-09-18,456.859985351562,424.440002441406,34483200
2014-09-19,424.102996826172,394.795989990234,37919700
2014-09-20,394.673004150391,408.903991699219,36863600
2014-09-21,408.084991455078,398.821014404297,26580100
2014-09-22,399.100006103516,402.152008056641,24127600
2014-09-23,402.092010498047,435.790985107422,45099500
2014-09-24,435.751007080078,423.204986572266,30627700
2014-09-25,423.156005859375,411.574005126953,26814400
2014-09-26,411.428985595703,404.424987792969,21460800
2014-09-27,403.555999755859,399.519989013672,15029300
2014-09-28,399.471008300781,377.180999755859,23613300
2014-09-29,376.928009033203,375.467010498047,32497700
2014-09-30,376.088012695312,386.944000244141,34707300
2014-10-01,387.427001953125,383.614990234375,26229400
2014-10-02,383.988006591797,375.071990966797,21777700
2014-10-03,375.180999755859,359.511993408203,30901200
2014-10-04,359.891998291016,328.865997314453,47236500
2014-10-05,328.915985107422,320.510009765625,83308096
2014-10-06,320.389007568359,330.079010009766,79011800
2014-10-07,330.584014892578,336.18701171875,49199900
2014-10-08,336.115997314453,352.940002441406,54736300
2014-10-09,352.747985839844,365.026000976562,83641104
2014-10-10,364.68701171875,361.56201171875,43665700
2014-10-11,361.361999511719,362.299011230469,13345200
2014-10-12,362.605987548828,378.549011230469,17552800
2014-10-13,377.920989990234,390.414001464844,35221400
2014-10-14,391.691986083984,400.869995117188,38491500
2014-10-15,400.954986572266,394.773010253906,25267100
2014-10-16,394.518005371094,382.555999755859,26990000
2014-10-17,382.756011962891,383.757995605469,13600700
2014-10-18,383.976013183594,391.441986083984,11416800
2014-10-19,391.253997802734,389.545989990234,5914570
2014-10-20,389.230987548828,382.845001220703,16419000
2014-10-21,382.420989990234,386.475006103516,14188900
2014-10-22,386.118011474609,383.157989501953,11641300
2014-10-23,382.962005615234,358.4169921875,26456900
2014-10-24,358.591003417969,358.345001220703,15585700
2014-10-25,358.610992431641,347.27099609375,18127500
2014-10-26,347.486999511719,354.704010009766,11272500
2014-10-27,354.777008056641,352.989013671875,13033000
2014-10-28,353.214996337891,357.618011474609,7845880
2014-10-29,357.088989257812,335.591003417969,18192700
2014-10-30,335.709014892578,345.304992675781,30177900
2014-10-31,345.009002685547,338.321014404297,12545400
2014-11-01,338.649993896484,325.748992919922,16677200
2014-11-02,326.075012207031,325.891998291016,8603620
2014-11-03,325.569000244141,327.553985595703,12948500
2014-11-04,327.161010742188,330.492004394531,15655500
2014-11-05,330.683013916016,339.485992431641,19817200
